id,f0,f1,Dtra,Dtst,ruleNum,ruleLength,rank,crowding
0,3.7037037037037033,8.0,3.7037037037037033,6.666666666666667,8,32,0,0.0
1,78.51851851851852,1.0,78.51851851851852,86.66666666666667,1,4,0,Infinity
2,5.9259259259259265,8.0,5.9259259259259265,0.0,8,32,0,0.0
3,5.185185185185185,8.0,5.185185185185185,6.666666666666667,8,32,0,0.06843891402714933
4,2.2222222222222223,8.0,2.2222222222222223,13.333333333333334,8,31,1,0.6809571286141576
5,42.22222222222222,4.0,42.22222222222222,46.666666666666664,4,16,0,0.0
6,3.7037037037037033,7.0,3.7037037037037033,6.666666666666667,7,27,1,0.09272183449651047
7,34.074074074074076,3.0,34.074074074074076,33.33333333333333,3,12,0,0.8388009049773756
8,11.851851851851853,7.0,11.851851851851853,26.666666666666668,7,28,0,0.0
9,9.62962962962963,4.0,9.62962962962963,6.666666666666667,4,15,0,0.34841628959276016
10,5.185185185185185,13.0,5.185185185185185,0.0,13,52,0,0.0
11,45.18518518518518,2.0,45.18518518518518,53.333333333333336,2,8,1,Infinity
12,7.4074074074074066,7.0,7.4074074074074066,13.333333333333334,7,28,0,0.6759049773755657
13,14.814814814814813,6.0,13.333333333333334,26.666666666666668,6,24,0,0.0
14,32.592592592592595,4.0,32.592592592592595,33.33333333333333,4,16,0,0.0
15,4.444444444444445,8.0,4.444444444444445,13.333333333333334,8,32,2,0.16111111111111112
16,38.51851851851852,3.0,38.51851851851852,40.0,3,12,0,0.0
17,5.9259259259259265,6.0,5.185185185185185,6.666666666666667,6,24,0,0.0
18,2.2222222222222223,10.0,2.2222222222222223,6.666666666666667,10,39,0,0.6759049773755657
19,31.11111111111111,7.0,31.11111111111111,33.33333333333333,7,27,0,0.0
20,65.18518518518519,2.0,65.18518518518519,66.66666666666666,2,8,0,0.0
21,4.444444444444445,6.0,4.444444444444445,6.666666666666667,6,24,0,0.06843891402714931
22,45.925925925925924,3.0,45.925925925925924,40.0,3,12,0,0.203054298642534
23,12.592592592592592,8.0,12.592592592592592,13.333333333333334,8,31,0,0.0
24,22.962962962962962,4.0,22.962962962962962,13.333333333333334,4,16,0,0.0
25,75.55555555555556,1.0,75.55555555555556,73.33333333333333,1,4,0,0.0
26,14.074074074074074,6.0,14.074074074074074,33.33333333333333,6,24,0,0.0
27,9.62962962962963,6.0,9.62962962962963,6.666666666666667,6,24,0,0.06843891402714931
28,9.62962962962963,6.0,9.62962962962963,6.666666666666667,6,24,0,0.0
29,5.185185185185185,5.0,5.185185185185185,6.666666666666667,5,20,0,0.06843891402714931
30,34.074074074074076,4.0,34.074074074074076,33.33333333333333,4,16,0,0.07805429864253394
31,78.51851851851852,1.0,78.51851851851852,86.66666666666667,1,4,0,Infinity
32,3.7037037037037033,6.0,3.7037037037037033,6.666666666666667,6,24,0,0.0
33,5.9259259259259265,5.0,5.9259259259259265,0.0,5,20,0,0.34841628959276016
34,4.444444444444445,7.0,4.444444444444445,0.0,7,28,0,0.0
35,5.185185185185185,6.0,5.185185185185185,6.666666666666667,6,24,1,0.09272183449651043
36,3.7037037037037033,8.0,3.7037037037037033,6.666666666666667,8,31,2,0.10555555555555556
37,34.074074074074076,2.0,34.074074074074076,33.33333333333333,2,8,0,0.8388009049773756
38,1.4814814814814816,19.0,1.4814814814814816,0.0,19,76,0,Infinity
39,3.7037037037037033,7.0,3.7037037037037033,13.333333333333334,7,27,0,0.06843891402714933
40,14.074074074074074,7.0,14.074074074074074,13.333333333333334,7,27,0,0.06843891402714933
41,2.2222222222222223,9.0,2.2222222222222223,13.333333333333334,9,35,1,0.6809571286141576
42,7.4074074074074066,7.0,7.4074074074074066,20.0,7,28,0,0.06843891402714933
43,6.666666666666667,8.0,6.666666666666667,20.0,8,32,0,0.0
44,11.11111111111111,6.0,11.11111111111111,20.0,6,24,1,0.09272183449651043
45,5.9259259259259265,6.0,5.9259259259259265,13.333333333333334,6,24,0,0.0
46,5.9259259259259265,7.0,5.9259259259259265,13.333333333333334,7,28,0,0.06843891402714933
47,34.074074074074076,5.0,34.074074074074076,53.333333333333336,5,20,1,0.5503489531405783
48,5.9259259259259265,8.0,5.9259259259259265,6.666666666666667,8,32,0,0.0
49,6.666666666666667,9.0,6.666666666666667,20.0,9,36,0,0.6759049773755657
50,4.444444444444445,7.0,4.444444444444445,6.666666666666667,7,28,0,0.0
51,2.9629629629629632,8.0,2.9629629629629632,13.333333333333334,8,31,1,0.6809571286141576
52,3.7037037037037033,7.0,3.7037037037037033,6.666666666666667,7,27,0,0.0
53,4.444444444444445,8.0,4.444444444444445,6.666666666666667,8,32,0,0.0
54,7.4074074074074066,8.0,7.4074074074074066,20.0,8,32,0,0.06843891402714933
55,22.962962962962962,3.0,22.962962962962962,26.666666666666668,3,12,0,0.2703619909502262
56,3.7037037037037033,8.0,3.7037037037037033,6.666666666666667,8,32,1,0.07577268195413758
57,7.4074074074074066,6.0,6.666666666666667,13.333333333333334,6,24,0,0.0
58,3.7037037037037033,10.0,3.7037037037037033,0.0,10,39,0,0.0
59,66.66666666666666,2.0,66.66666666666666,66.66666666666666,2,8,1,0.5503489531405783

