ruleNum,count
1,22
2,82
3,158
4,348
5,440
6,86
7,34
8,49
9,80
10,181
11,181
12,260
13,706
14,1008
15,985
16,688
17,366
18,165
19,52
20,17
21,7
22,8
23,6
24,6
25,3
26,1
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
