id,f0,f1,Dtra,Dtst,ruleNum,ruleLength,rank,crowding
0,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,Infinity
1,1.4814814814814816,7.0,1.4814814814814816,6.666666666666667,7,26,0,Infinity
2,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,4,0,0.0
3,33.33333333333333,2.0,33.33333333333333,33.33333333333333,2,7,0,0.678030303030303
4,4.444444444444445,3.0,4.444444444444445,13.333333333333334,3,12,0,0.6098484848484849
5,33.33333333333333,2.0,33.33333333333333,33.33333333333333,2,7,0,0.0
6,2.2222222222222223,4.0,2.2222222222222223,6.666666666666667,4,16,0,0.5340909090909091
7,4.444444444444445,3.0,4.444444444444445,13.333333333333334,3,12,0,0.0
8,2.2222222222222223,4.0,2.2222222222222223,6.666666666666667,4,16,0,0.178030303030303
9,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
10,33.33333333333333,2.0,33.33333333333333,33.33333333333333,2,7,0,0.0
11,4.444444444444445,3.0,4.444444444444445,13.333333333333334,3,12,0,0.0
12,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
13,33.33333333333333,2.0,33.33333333333333,33.33333333333333,2,7,0,0.0
14,4.444444444444445,3.0,4.444444444444445,13.333333333333334,3,12,0,0.0
15,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
16,33.33333333333333,2.0,33.33333333333333,33.33333333333333,2,7,0,0.0
17,4.444444444444445,3.0,4.444444444444445,6.666666666666667,3,11,0,0.0
18,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
19,33.33333333333333,2.0,33.33333333333333,33.33333333333333,2,7,0,0.0
20,4.444444444444445,3.0,4.444444444444445,13.333333333333334,3,12,0,0.0
21,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
22,33.33333333333333,2.0,33.33333333333333,33.33333333333333,2,7,0,0.0
23,4.444444444444445,3.0,4.444444444444445,13.333333333333334,3,12,0,0.0
24,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,2,0,0.0
25,33.33333333333333,2.0,33.33333333333333,33.33333333333333,2,7,0,0.0
26,4.444444444444445,3.0,4.444444444444445,13.333333333333334,3,12,0,0.0
27,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
28,4.444444444444445,3.0,4.444444444444445,13.333333333333334,3,12,0,0.0
29,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
30,4.444444444444445,3.0,4.444444444444445,13.333333333333334,3,12,0,0.0
31,4.444444444444445,3.0,4.444444444444445,13.333333333333334,3,12,0,0.0
32,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
33,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
34,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
35,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
36,33.33333333333333,2.0,33.33333333333333,33.33333333333333,2,7,0,0.0
37,4.444444444444445,3.0,4.444444444444445,13.333333333333334,3,12,0,0.0
38,4.444444444444445,3.0,4.444444444444445,13.333333333333334,3,12,0,0.0
39,33.33333333333333,2.0,33.33333333333333,33.33333333333333,2,7,0,0.0
40,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
41,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
42,33.33333333333333,2.0,33.33333333333333,33.33333333333333,2,7,0,0.0
43,33.33333333333333,2.0,33.33333333333333,33.33333333333333,2,6,0,0.0
44,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
45,4.444444444444445,3.0,4.444444444444445,13.333333333333334,3,12,0,0.0
46,33.33333333333333,2.0,33.33333333333333,33.33333333333333,2,7,0,0.0
47,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
48,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,4,0,0.0
49,33.33333333333333,2.0,33.33333333333333,33.33333333333333,2,7,0,0.0
50,4.444444444444445,3.0,4.444444444444445,13.333333333333334,3,12,0,0.0
51,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,4,0,0.0
52,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
53,33.33333333333333,2.0,33.33333333333333,33.33333333333333,2,7,0,0.0
54,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
55,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
56,33.33333333333333,2.0,33.33333333333333,33.33333333333333,2,7,0,0.6098484848484849
57,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,0.0
58,4.444444444444445,3.0,4.444444444444445,13.333333333333334,3,12,0,0.20075757575757575
59,66.66666666666666,1.0,66.66666666666666,66.66666666666666,1,3,0,Infinity

